#"Step","Potential Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Density (g/mL)"
100,-371262.9889009092,61.37159156421513,20.07485804375201,0.9545452149470776
200,-370650.3630626806,113.11390293705472,20.07485804375201,0.9545452149470776
300,-370403.6946832866,169.4041301536718,20.07485804375201,0.9545452149470776
400,-370535.1557108014,222.76907240387416,20.07485804375201,0.9545452149470776
500,-371215.06009544386,282.78741704435356,20.07485804375201,0.9545452149470776
600,-371427.6793392747,302.3457772511,20.07485804375201,0.9545452149470776
700,-371820.57968623296,322.57039274459765,20.07485804375201,0.9545452149470776
800,-372263.21788200643,338.81180818051087,20.07485804375201,0.9545452149470776
900,-372446.6205595152,341.9112018447995,20.07485804375201,0.9545452149470776
1000,-372694.9470543803,329.08868266332684,20.07485804375201,0.9545452149470776
1100,-372502.0798611678,322.60019615539653,20.07485804375201,0.9545452149470776
1200,-372679.09709109215,327.272518721653,20.07485804375201,0.9545452149470776
1300,-372652.98521916766,321.98499235979307,20.07485804375201,0.9545452149470776
1400,-372939.97258560616,318.4319101690599,20.07485804375201,0.9545452149470776
1500,-372967.0959667949,316.7724589062218,20.07485804375201,0.9545452149470776
1600,-373067.16849375365,315.3128274187999,20.07485804375201,0.9545452149470776
1700,-372900.8285351162,304.1669399177118,20.07485804375201,0.9545452149470776
1800,-372977.7945769832,312.560115649719,20.07485804375201,0.9545452149470776
1900,-373282.9428442002,324.1950489009334,20.07485804375201,0.9545452149470776
2000,-373314.95625686314,313.78034375528796,20.07485804375201,0.9545452149470776
2100,-373418.5356365875,316.4032834763816,20.07485804375201,0.9545452149470776
2200,-373482.7864701079,316.14143913692493,20.07485804375201,0.9545452149470776
2300,-373709.9868034138,317.48785412545755,20.07485804375201,0.9545452149470776
2400,-373900.41077170067,318.7886730536998,20.07485804375201,0.9545452149470776
2500,-373758.0230570766,316.54411018105566,20.07485804375201,0.9545452149470776
2600,-373721.99220191385,303.83053931642735,20.07485804375201,0.9545452149470776
2700,-373590.42823754647,303.4360302940108,20.07485804375201,0.9545452149470776
2800,-373591.96274198696,303.7049274148882,20.07485804375201,0.9545452149470776
2900,-373923.7766940862,311.0553347343149,20.07485804375201,0.9545452149470776
3000,-373892.15478662343,305.1505131461853,20.07485804375201,0.9545452149470776
3100,-373868.8935267059,301.82961168454096,20.07485804375201,0.9545452149470776
3200,-373905.9453588332,306.95709884097835,20.07485804375201,0.9545452149470776
3300,-373958.40384498157,303.8571630542626,20.07485804375201,0.9545452149470776
3400,-374045.76909528056,298.54111744164186,20.07485804375201,0.9545452149470776
3500,-373949.2424220083,295.91549070268104,20.07485804375201,0.9545452149470776
3600,-374179.2913970117,310.7635382791133,20.07485804375201,0.9545452149470776
3700,-374149.64336021844,305.4292773715107,20.07485804375201,0.9545452149470776
3800,-374156.54493030667,298.5520460634099,20.07485804375201,0.9545452149470776
3900,-374416.0504452471,315.3659391325522,20.07485804375201,0.9545452149470776
4000,-374348.66333826433,306.94316283175874,20.07485804375201,0.9545452149470776
4100,-374345.26941098645,293.986269977502,20.07485804375201,0.9545452149470776
4200,-374398.60028474714,292.99782568357324,20.07485804375201,0.9545452149470776
4300,-374467.3338610211,293.1319931299682,20.07485804375201,0.9545452149470776
4400,-374429.1318907235,293.31018655223346,20.07485804375201,0.9545452149470776
4500,-374481.51044017,297.7378179628989,20.07485804375201,0.9545452149470776
4600,-374330.6695035179,293.5417200569208,20.07485804375201,0.9545452149470776
4700,-374566.9697804801,300.4357302601021,20.07485804375201,0.9545452149470776
4800,-374313.7559230444,292.14721210323256,20.07485804375201,0.9545452149470776
4900,-374461.19717290124,303.610114480956,20.07485804375201,0.9545452149470776
5000,-374309.96517676336,296.71040958842343,20.07485804375201,0.9545452149470776
5100,-374379.532593663,296.62204966269354,20.07485804375201,0.9545452149470776
5200,-374438.71297032107,292.79786473961843,20.07485804375201,0.9545452149470776
5300,-374339.5657802989,299.4438941841318,20.07485804375201,0.9545452149470776
5400,-374322.1161032692,301.98722423335244,20.07485804375201,0.9545452149470776
5500,-374456.1028885107,312.063541282359,20.07485804375201,0.9545452149470776
5600,-374566.4385922818,310.97867090814236,20.07485804375201,0.9545452149470776
5700,-374636.8004869576,309.532750691874,20.07485804375201,0.9545452149470776
5800,-374482.1285106096,299.7006135976761,20.07485804375201,0.9545452149470776
5900,-374432.37724260305,300.5727424008822,20.07485804375201,0.9545452149470776
6000,-374504.3761552025,298.40816181895684,20.07485804375201,0.9545452149470776
6100,-374568.09339331154,300.4044518792536,20.07485804375201,0.9545452149470776
6200,-374336.38177614723,290.4162328079657,20.07485804375201,0.9545452149470776
6300,-374524.1574928894,305.0687685598015,20.07485804375201,0.9545452149470776
6400,-374418.04790099064,304.8927283950911,20.07485804375201,0.9545452149470776
6500,-374470.29946388945,301.35213113676446,20.07485804375201,0.9545452149470776
6600,-374481.4663388222,302.4249303420765,20.07485804375201,0.9545452149470776
6700,-374302.52601695096,285.061997284977,20.07485804375201,0.9545452149470776
6800,-374453.46654293383,306.61189620032326,20.07485804375201,0.9545452149470776
6900,-374455.3751430195,295.1098924296775,20.07485804375201,0.9545452149470776
7000,-374467.4576486542,290.8625062167173,20.07485804375201,0.9545452149470776
7100,-374534.35632668826,292.64937534676386,20.07485804375201,0.9545452149470776
7200,-374690.04761983897,294.4150341543925,20.07485804375201,0.9545452149470776
7300,-374737.2814779604,293.4423322550888,20.07485804375201,0.9545452149470776
7400,-374610.0415607544,293.12093295216414,20.07485804375201,0.9545452149470776
